2022-01-01,07:42:56,15:36:07
2022-01-02,07:42:47,15:37:12
2022-01-03,07:42:35,15:38:20
2022-01-04,07:42:19,15:39:30
2022-01-05,07:42:00,15:40:43
2022-01-06,07:41:38,15:41:58
2022-01-07,07:41:12,15:43:16
2022-01-08,07:40:43,15:44:36
2022-01-09,07:40:11,15:45:59
2022-01-10,07:39:35,15:47:23
2022-01-11,07:38:56,15:48:50
2022-01-12,07:38:14,15:50:18
2022-01-13,07:37:29,15:51:49
2022-01-14,07:36:41,15:53:21
2022-01-15,07:35:50,15:54:55
2022-01-16,07:34:56,15:56:31
2022-01-17,07:33:59,15:58:08
2022-01-18,07:32:59,15:59:46
2022-01-19,07:31:56,16:01:26
2022-01-20,07:30:51,16:03:07
2022-01-21,07:29:43,16:04:50
2022-01-22,07:28:32,16:06:33
2022-01-23,07:27:19,16:08:18
2022-01-24,07:26:03,16:10:03
2022-01-25,07:24:44,16:11:49
2022-01-26,07:23:24,16:13:37
2022-01-27,07:22:01,16:15:25
2022-01-28,07:20:35,16:17:13
2022-01-29,07:19:07,16:19:02
2022-01-30,07:17:38,16:20:52
2022-01-31,07:16:06,16:22:42
2022-02-01,07:14:32,16:24:33
2022-02-02,07:12:56,16:26:24
2022-02-03,07:11:18,16:28:16
2022-02-04,07:09:38,16:30:07
2022-02-05,07:07:56,16:31:59
2022-02-06,07:06:12,16:33:51
2022-02-07,07:04:27,16:35:44
2022-02-08,07:02:40,16:37:36
2022-02-09,07:00:52,16:39:29
2022-02-10,06:59:01,16:41:21
2022-02-11,06:57:10,16:43:14
2022-02-12,06:55:16,16:45:06
2022-02-13,06:53:22,16:46:58
2022-02-14,06:51:25,16:48:51
2022-02-15,06:49:28,16:50:43
2022-02-16,06:47:29,16:52:35
2022-02-17,06:45:29,16:54:27
2022-02-18,06:43:28,16:56:18
2022-02-19,06:41:26,16:58:10
2022-02-20,06:39:22,17:00:01
2022-02-21,06:37:18,17:01:52
2022-02-22,06:35:12,17:03:43
2022-02-23,06:33:05,17:05:34
2022-02-24,06:30:58,17:07:24
2022-02-25,06:28:49,17:09:14
2022-02-26,06:26:40,17:11:04
2022-02-27,06:24:29,17:12:53
2022-02-28,06:22:18,17:14:43
2022-03-01,06:20:07,17:16:32
2022-03-02,06:17:54,17:18:20
2022-03-03,06:15:41,17:20:09
2022-03-04,06:13:27,17:21:57
2022-03-05,06:11:12,17:23:45
2022-03-06,06:08:57,17:25:33
2022-03-07,06:06:41,17:27:20
2022-03-08,06:04:25,17:29:07
2022-03-09,06:02:08,17:30:54
2022-03-10,05:59:51,17:32:41
2022-03-11,05:57:34,17:34:27
2022-03-12,05:55:15,17:36:13
2022-03-13,05:52:57,17:37:59
2022-03-14,05:50:38,17:39:45
2022-03-15,05:48:19,17:41:31
2022-03-16,05:46:00,17:43:16
2022-03-17,05:43:41,17:45:01
2022-03-18,05:41:21,17:46:46
2022-03-19,05:39:01,17:48:31
2022-03-20,05:36:41,17:50:16
2022-03-21,05:34:21,17:52:00
2022-03-22,05:32:01,17:53:45
2022-03-23,05:29:40,17:55:29
2022-03-24,05:27:20,17:57:13
2022-03-25,05:25:00,17:58:58
2022-03-26,05:22:39,18:00:42
2022-03-27,06:20:19,19:02:26
2022-03-28,06:17:59,19:04:10
2022-03-29,06:15:39,19:05:53
2022-03-30,06:13:19,19:07:37
2022-03-31,06:11:00,19:09:21
2022-04-01,06:08:40,19:11:05
2022-04-02,06:06:21,19:12:48
2022-04-03,06:04:02,19:14:32
2022-04-04,06:01:44,19:16:16
2022-04-05,05:59:25,19:17:59
2022-04-06,05:57:08,19:19:43
2022-04-07,05:54:50,19:21:27
2022-04-08,05:52:33,19:23:10
2022-04-09,05:50:17,19:24:54
2022-04-10,05:48:01,19:26:38
2022-04-11,05:45:45,19:28:21
2022-04-12,05:43:30,19:30:05
2022-04-13,05:41:16,19:31:49
2022-04-14,05:39:02,19:33:32
2022-04-15,05:36:49,19:35:16
2022-04-16,05:34:37,19:37:00
2022-04-17,05:32:25,19:38:44
2022-04-18,05:30:15,19:40:27
2022-04-19,05:28:05,19:42:11
2022-04-20,05:25:56,19:43:54
2022-04-21,05:23:48,19:45:38
2022-04-22,05:21:40,19:47:22
2022-04-23,05:19:34,19:49:05
2022-04-24,05:17:29,19:50:48
2022-04-25,05:15:25,19:52:32
2022-04-26,05:13:22,19:54:15
2022-04-27,05:11:20,19:55:58
2022-04-28,05:09:19,19:57:40
2022-04-29,05:07:20,19:59:23
2022-04-30,05:05:22,20:01:05
2022-05-01,05:03:25,20:02:47
2022-05-02,05:01:29,20:04:29
2022-05-03,04:59:35,20:06:11
2022-05-04,04:57:42,20:07:52
2022-05-05,04:55:51,20:09:32
2022-05-06,04:54:02,20:11:13
2022-05-07,04:52:14,20:12:52
2022-05-08,04:50:27,20:14:32
2022-05-09,04:48:43,20:16:10
2022-05-10,04:47:00,20:17:49
2022-05-11,04:45:19,20:19:26
2022-05-12,04:43:40,20:21:03
2022-05-13,04:42:02,20:22:39
2022-05-14,04:40:27,20:24:14
2022-05-15,04:38:54,20:25:48
2022-05-16,04:37:23,20:27:21
2022-05-17,04:35:53,20:28:54
2022-05-18,04:34:27,20:30:25
2022-05-19,04:33:02,20:31:55
2022-05-20,04:31:39,20:33:24
2022-05-21,04:30:19,20:34:52
2022-05-22,04:29:02,20:36:18
2022-05-23,04:27:46,20:37:43
2022-05-24,04:26:34,20:39:07
2022-05-25,04:25:23,20:40:29
2022-05-26,04:24:16,20:41:49
2022-05-27,04:23:11,20:43:08
2022-05-28,04:22:08,20:44:24
2022-05-29,04:21:09,20:45:40
2022-05-30,04:20:12,20:46:53
2022-05-31,04:19:18,20:48:04
2022-06-01,04:18:27,20:49:13
2022-06-02,04:17:39,20:50:20
2022-06-03,04:16:54,20:51:25
2022-06-04,04:16:12,20:52:27
2022-06-05,04:15:32,20:53:27
2022-06-06,04:14:56,20:54:25
2022-06-07,04:14:23,20:55:20
2022-06-08,04:13:54,20:56:13
2022-06-09,04:13:27,20:57:03
2022-06-10,04:13:03,20:57:50
2022-06-11,04:12:43,20:58:35
2022-06-12,04:12:26,20:59:17
2022-06-13,04:12:12,20:59:56
2022-06-14,04:12:01,21:00:32
2022-06-15,04:11:54,21:01:05
2022-06-16,04:11:49,21:01:35
2022-06-17,04:11:48,21:02:02
2022-06-18,04:11:50,21:02:26
2022-06-19,04:11:56,21:02:47
2022-06-20,04:12:04,21:03:04
2022-06-21,04:12:16,21:03:19
2022-06-22,04:12:31,21:03:30
2022-06-23,04:12:49,21:03:38
2022-06-24,04:13:10,21:03:43
2022-06-25,04:13:34,21:03:44
2022-06-26,04:14:01,21:03:42
2022-06-27,04:14:31,21:03:37
2022-06-28,04:15:04,21:03:29
2022-06-29,04:15:40,21:03:18
2022-06-30,04:16:19,21:03:03
2022-07-01,04:17:00,21:02:45
2022-07-02,04:17:44,21:02:23
2022-07-03,04:18:31,21:01:59
2022-07-04,04:19:21,21:01:31
